Overview,Website,Industry,Company size,Headquarters,Founded,Specialties,Phone
"CoinDCX is India's most valued Crypto Investment App. Our exchange is built with user experience and security in mind. We provide users single-point access to a diverse suite of crypto-based financial products and services that are backed by security processes and insurance.

We are trusted by 1.3+ crore users & have 200+ coins listed. We have solved numerous problems faced by the Indian crypto community with solutions around crypto investing, crypto trading & crypto literacy.
In simpler words, we need your expertise to up our efforts in doing what we do best.

Our proprietary aggregation model provides the highest liquidity from leading global crypto exchanges. We are an ISO certified company backed by reputed investors like Polychain Capital, Coinbase Ventures, Bain Capital Ventures, and HDR Group, operator of BitMEX.",http://coindcx.com/,Financial Services,"501-1,000 employees 619 on LinkedIn
            
 



    Includes members with current employer listed as CoinDCX, including part-time roles.","Mumbai, Maharashtra",2018,"cryptocurrency, blockchain, digital assets, cryptocurrency exchange, bitcoin, xrp, usd, usdc, usdt, eth, crytpo trading india, crypto updates, p2p, wallets, and 250+ Markets",
"KreditBee is a FinTech Platform which offers instant personal loan to professionals, where they can avail loans up to ₹3 lakhs as per their requirement. With a strong focus on online tech-based and data-centric KYC, KreditBee envisions to solve the financial inclusion gap in the varied demographic segments of the country. The platform is backed by a Systemically Important NBFC Krazybee Services Private Limited, registered with RBI since May 2017, as well as various debt & platform partners. KreditBee is a brand of Finnovation Tech Solutions Pvt Ltd and is currently a Series-C funded entity with a cumulative fundraise of over USD 200 Million. It is backed by some key VC firms and investment entities like Azim Premji’s Premji Invest, Motilal Oswal Private Equity, TPG-backed NewQuest, South Korea’s Mirae Asset Venture, and US-based Alpine Capital. Some other marquee investors include ICICI Bank, Arkam Ventures and SIDBI’s investment arm IndiaSME Investments. Also, it has various debt partners like AU Small Finance Bank, HSBC, Fullerton, and IIFL. Currently, it has 5 million loan customers, out of which over 2 million are active loan customers.",https://www.kreditbee.in,Financial Services,"1,001-5,000 employees 619 on LinkedIn
            
 



    Includes members with current employer listed as KreditBee, including part-time roles.","Bangalore, Karnataka",2018,,
"Misys and D+H join forces to create Finastra, the third largest Fintech in the world. We now have a new company page, for new updates please follow https://www.linkedin.com/company/finastra",http://www.misys.com,Financial Services,"5,001-10,000 employees 1,774 on LinkedIn
            
 



    Includes members with current employer listed as Misys, including part-time roles.","London, London",1979,"Retail Banking, Open Source Solutions, Treasury & Capital Markets, Enterprise Risk, Buy-side, Lending, Corporate Banking, Investment Management, Financial Software, Transaction Banking, and Risk Management",
"Equiniti India is an Equiniti Group company engaging in offshore business. EQ India employs highly competent professionals delivering complex and heavy transactions. EQ India services include application support/ development, software quality assurance, IT Infrastructure support services, PMO, finance shared service, marketing support and BPO process such as employee benefit solutions, shareholder services, investment services, pension solutions, central reconciliation, customer experience centre (voice process), HR & payroll. The team in India is an extended team of the respective UK and US counterparts providing successful offshore projects and meeting client SLA.

EQ India is a Centre of Excellence and Certified ISO 27001:2013 (Information Security Management System) that leverages innovation, transformation & automation to deliver contemporary solutions that proficiently cater to clients requirements. We showcase integrity and openness in our dealings with our clients. 

A key element of successful culture and business practices of the EQ India is that it incorporates similar DNA and values as the group.",http://www.equiniti-india.com,Financial Services,"501-1,000 employees 505 on LinkedIn
            
 



    Includes members with current employer listed as Equiniti India, including part-time roles.","Chennai, Tamil Nadu",2014,"IT & ITES, Finance Shared Services, HR Support Functions, Marketing & Sales Support, Complaints Management, Cyber & Financial Crime, Project Management, KYC, Customer Experience, Fintech, Contact Centre, BPO Services, customer experience centre, Financial Services, Creative Services, International Payments, Pensions, and Loans Technology","+91 44 42889800
            

              Phone number is +91 44 42889800"
"Credgenics is an innovative FinTech which provides advanced loan collections and debt recovery technology solutions to Banks, Non-banking finance companies, ARCs and Digital lending firms worldwide. The award-winning SaaS based platform covers end-to-end collections lifecycle with unique capabilities including multi-channel digital communications, AI powered predictor models for optimal collections strategy, field collections mobile app CG Collect, Billzy digital payments, legal management system, comprehensive dashboards and deep analytical models. Credgenics platform helps lenders leverage technology to boost their resolution rates, improve collections efficiencies, increase collections, transform customer experience and reduce non performing loans.",https://credgenics.com/,Financial Services,"201-500 employees 290 on LinkedIn
            
 



    Includes members with current employer listed as Credgenics, including part-time roles.","Noida, Delhi",,"SaaS, NPA Resolution, Fintech, Loan Collections, Debt Recoveries, Banking Technology, Digital Collections, Technology Solutions, Credit Recoveries, Mobile Collections, Loan Repayments, and Digital Banking",
"When you invest with intelligence, life opens up a wealth of choices. ET Money helps you amplify the power of investing intelligence by personalizing it for you & your life goals. So that you can choose to live a life that's full of choices.
Live your choices with ET Money.",http://www.etmoney.com,Financial Services,"201-500 employees 181 on LinkedIn
            
 



    Includes members with current employer listed as ET Money, including part-time roles.","Gurugram, Haryana",2015,,
"We are committed to lowering costs, improving quality and delivering faster results for our clients. Our insights, software robotics and workforce solutions drive the day-to-day activity so our clients can focus on growing their business.

Using a lean Six Sigma approach, our team reviews client processes, eliminates non-value adds, and streamlines productivity. We build and share financial and legal technology to automate and optimize workforce performance. We recruit, train and manage highly-skilled human resources to meet project-based or full-time staffing needs.

Our clients have access to a global team of subject matter experts specializing in data/analytics, operations automation, loan administration and legal support. We serve a variety of industries including banking, automotive finance, credit card, mortgage, insurance and telecommunications.",http://www.aisinfo.com,Financial Services,"501-1,000 employees 544 on LinkedIn
            
 



    Includes members with current employer listed as AIS InfoSource, including part-time roles.","Houston, Texas",2000,"Business Transformation, Robotics with Artificial Intelligence, Process Engineering, Automation, Data & Predictive Analytics, Operations, Loan Administration, Financial Services, Technology & Digital, IT Infrastructure , Application Development, Default Servicing, Bankruptcy, Litigation Support, Staffing, Workforce Optimization, Banking, Auto Finance, Mortgage Servicing, Insurance, and Telecommunications","713-395-9500
            

              Phone number is 713-395-9500"
"From August 29, DOCOMO Digital has become part of Bango PLC (https://www.linkedin.com/company/bango). We will continue to support and grow our customers’ and partners’ businesses from within the Bango organization.

We can offer more merchants to our payment partners and more payment partners to our merchants. We can also bring the unique payments, resale and purchase behavior technologies Bango has developed to DOCOMO Digital customers.

We are convinced that the leader in this fast growth market is Bango, which uniquely brings together payments technology and digital marketing technology in a way that’s never been done before. Bango gives its customers clear competitive advantages in a continuously evolving market, and we are eager to bring these benefits to the customers and partners we have been serving for more than 10 years.

We are excited about the future as part of Bango, both for ourselves and for our valued customers.

To learn more about our new company, Bango, visit www.bango.com/about",http://www.docomodigital.com,Financial Services,"201-500 employees 527 on LinkedIn
            
 



    Includes members with current employer listed as DOCOMO Digital, including part-time roles. Also includes employees from subsidiaries: Buongiorno and net mobile AG.","London, England",,"Direct Carrier Billing, Mobile Payments, e-Commerce, e-Wallet, Mobile Internet Apps, Web Applications, Native Applications, Mobile Commerce, m-Commerce, Digital Marketing Solutions, Mobile Operator Billing, kyc, AppStore Integration, Direct Wallet Billing, and OTT Integration",
"Resurgent India Ltd. is a consultancy firm dedicated to helping its clients achieve and sustain competitive advantage in the industry. Our services includes in the domain of Financial and Management consultancy. We dedicate our self in providing services like, Project Feasibility Study, Preparation of Project Report, Advising on Debt Restructuring, Advising on Cost Reduction, Financial Feasibility Study, Debt Syndication, Working Capital Loans, Factoring, arranging private equity, Business valuation, IPO planning, Preparation of Business Plans, Assisting in Implementation of Business Plan, Strategic Advisory Services,  Setting MIS system to reduce pilferage in retail organizations and many more..",http://www.resurgentindia.com,Financial Services,"201-500 employees 179 on LinkedIn
            
 



    Includes members with current employer listed as Resurgent India Limited, including part-time roles.","Gurgaon, Haryana",2006,"Debt Solutions, Equity Solutions, Advisory Solutions, TEV Study, Valuation Services, SME Loan Syndication, Insolvency, Wealth Management, and Credit Assessment","7840000667
            

              Phone number is 7840000667"
"Airwallex is the leading financial technology platform for modern businesses growing beyond borders. With one of the world’s most powerful payments and banking infrastructure, our technology empowers businesses of all sizes to accept payments, move money globally, and simplify their financial operations, all in one single platform. 

Established in 2015 in Melbourne, our purpose is to connect entrepreneurs, business builders, makers and creators with opportunities in every corner of the world. Today, Airwallex has a global footprint across Asia-Pacific, Europe, and North America.",http://www.airwallex.com,Financial Services,"1,001-5,000 employees 989 on LinkedIn
            
 



    Includes members with current employer listed as Airwallex, including part-time roles.",,2015,"Fintech, Card, Business Account, API, Multi-currency Wallet, Global SME Bank, Payment Acceptance, Online Payments, International Transfers, and Issuing",
"With track record of over 27 years, SK Finance (Formerly known as Ess kay Fincorp Ltd) is NDSI - Asset Finance NBFC having predominant operations in rural and semi urban areas of north, west and central India. SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr .
Currently SK Finance operates in 10 states with over 380+ branches and a family of more than 5500 employees. We believe that we have created a product serving the need of self-employed individuals and small businesses. We cater to both unbanked / under-served customer as well as serve the banking customer by adopting an innovative approach and validating creditworthiness of individuals and small businesses. It is this fundamental premise on which our business was built and we have a mission to bring a social impact. Behind the functioning of the organization, is the belief that each customer is an asset in the growth of our business. The company is backed by marquee private equity funds such as TPG Capital, Norwest Venture Partners, Baring India and Evolvence India.",http://www.skfin.in,Financial Services,"5,001-10,000 employees 1,938 on LinkedIn
            
 



    Includes members with current employer listed as SK Finance Ltd, including part-time roles.","Jaipur, Rajasthan",1994,"loan, vehicle loan, business loan, financial services, finance, and easyloan",
DHFL is now Piramal Capital And Housing Finance Limited (PCHFL).,https://www.piramalfinance.com,Financial Services,"1,001-5,000 employees 3,849 on LinkedIn
            
 



    Includes members with current employer listed as DHFL, including part-time roles.","Mumbai, MAHARASHTRA",,MSME Lending and Home Loan,"18002666444
            

              Phone number is 18002666444"
Adani Capital is the non-banking financial company (NBFC) arm of Adani Group and commenced lending operations in April 2017. The company aims to become the foremost Financial services firm with a focus on ‘Entrepreneurship’.,https://www.adanicapital.in/,Financial Services,"501-1,000 employees 537 on LinkedIn
            
 



    Includes members with current employer listed as Adani Capital, including part-time roles.","Mumbai, Maharashtra",2017,,
"Oxane Partners is a technology-driven solutions provider to the private markets industry. Our solutions transform the way private markets investment firms and banks analyze and manage their investments. We unify our technology with deep domain expertise to provide compelling solutions to the challenges faced by the private markets industry.

Our collaborative engagement approach helps our clients evaluate more opportunities faster and better manage their existing investments while still maintaining the rigor of their investment process. Our solutions manage over $200 billion of notional for 85+ clients including global investment banks, private equity, private credit, hedge funds, and alternative asset managers.

Founded in 2013 by former credit traders from Deutsche Bank, Oxane Partners has grown to a team of 200+ highly skilled financial analysts and technology experts. Oxane Partners is headquartered in London, has additional offices in New York and Gurgaon, and is authorized and regulated by the Financial Conduct Authority, United Kingdom.",http://www.oxanepartners.com,Financial Services,"201-500 employees 231 on LinkedIn
            
 



    Includes members with current employer listed as Oxane Partners, including part-time roles.","London, England",2013,"Commercial Real Estate, Private Equity, Structured Finance, ABS, CLO, RMBS, CMBS, Direct Lending, Credit Research, Equity Research, Independent Valuation, Renewables, Real Estate, Specialty Finance, Structured Credit, Technology Platforms, Data Warehousing, Reporting, Portfolio Surveillance, NPL Portfolios, Securitization, Model Validation, and Financial Modelling",
